"","x"
"368",331276.669461717
"369",660741.705042574
"370",557965.082089963
"371",318055.54651183
"372",420693.662273581
"373",537772.33901139
"374",668043.012439914
"375",428302.685915523
"376",1600709.60198469
"377",163153.130376046
"378",627806.447902239
"379",512414.130043496
"380",460555.659525154
"381",598484.00834571
"382",779089.333165181
"383",347853.898973599
"384",365826.240196921
"385",488802.817518362
"386",533240.565177615
"387",613678.132147435
"388",1000682.43129254
"389",297095.998545533
"390",809505.262696466
"391",1443401.30424292
"392",653718.145080437
"393",749711.656786097
"394",1070773.13022092
"395",578042.88365455
"396",360520.694250809
"397",171845.321281617
"398",427963.229602747
"399",826692.6433246
"400",423345.486874296
"401",911205.809605072
"402",142342.430308276
"403",597861.490950229
"404",136167.189150192
"405",225693.402109594
"406",880805.092036794
"407",171628.375375509
"408",888933.243571026
"409",604590.666318945
"410",342276.22616683
"411",332052.835948629
"412",654777.294971425
"413",323210.45599793
"414",157338.108389364
"415",1145385.03725047
"416",373430.362197926
"417",307590.017368284
"418",241884.158548337
"419",294380.216698568
"420",141171.735693607
"421",436418.073420227
"422",994888.222865734
"423",262919.545915335
"424",941315.461426863
"425",683476.648279694
"426",492451.960330158
"427",1034740.43072429
"428",1385331.96483458
"429",1111638.20966162
"430",682862.016503671
"431",839043.583277508
"432",343532.04212418
"433",669643.786373132
"434",592104.222792896
"435",259446.601797448
"436",707458.196246057
"437",394457.079269974
"438",1040067.41139008
"439",522607.903411373
"440",190985.73234366
"441",543051.532884578
"442",276282.156253312
"443",801419.732759646
"444",1262304.6973536
"445",205212.426249398
"446",355396.347174042
"447",290143.505650086
"448",414421.864786824
"449",266897.16746006
"450",663931.159759702
"451",858488.181210514
"452",267111.098285303
"453",457254.454660437
"454",448844.968102431
"455",511889.458218791
"456",532466.742640422
"457",187898.204709289
"458",660416.750645336
"459",925720.967926452
"460",197167.790426597
"461",1132272.72115626
"462",278664.309745112
"463",1245716.57726505
"464",650872.322705532
"465",468772.249940109
"466",589790.427373012
"467",403125.677271712
"468",320010.363720792
"469",162768.870944957
"470",809189.397386645
"471",778812.433732555
"472",243742.992826003
"473",240762.579035295
"474",914132.636782097
"475",359177.558480433
"476",462220.733970066
"477",376494.398420289
"478",468810.578884511
"479",302226.299486253
"480",456090.691302637
"481",292007.234103237
"482",282823.224973279
"483",636777.125019654
"484",775368.762056947
"485",441969.16566542
"486",598514.00314435
"487",513208.034614061
"488",1212252.79617519
"489",256626.303264009
"490",245380.503839232
"491",396708.727642468
"492",488395.933921667
"493",112447.99542407
"494",320235.289694206
"495",1436393.26928311
"496",298744.393876129
"497",316114.125014619
"498",1353653.78915433
"499",801167.250445285
"500",407143.397600645
"501",163096.095769635
"502",272775.459669141
"503",316237.32128005
"504",476062.770463879
"505",301569.454488082
"506",209795.821318492
"507",121456.545539751
"508",523778.08806556
"509",937937.506651632
"510",640436.851152549
"511",393516.884443494
"512",210318.040013677
"513",603994.952273547
"514",761489.472984496
"515",1111661.10375217
"516",1314533.70724617
"517",1340748.14125982
"518",276049.095133058
"519",132449.975867683
"520",386495.658192601
"521",571210.601845735
"522",370070.189033614
"523",559882.975349478
"524",572413.906379125
"525",498906.885516714
"526",234855.563635755
"527",509803.455240938
"528",271883.144050253
"529",1098329.57093252
"530",560440.293822638
"531",410972.473000538
"532",1150491.60118187
"533",874094.622481113
"534",836997.885981056
"535",675206.895575353
"536",473727.485461683
"537",941259.969391518
"538",584735.123187047
"539",321393.013029924
"540",460023.660742335
"541",576368.46128396
"542",313011.633649031
"543",421120.641038262
"544",702105.764844238
"545",1058686.05535723
"546",294712.490217235
"547",412597.660500103
"548",235775.291729157
"549",825870.001806912
"550",582195.060877558
"551",178659.589776862
"552",577150.911685038
"553",682879.548557455
"554",772000.658722263
"555",603572.787271445
"556",272712.671790579
"557",246335.939094997
"558",543750.067905444
"559",167504.648215734
"560",806097.344743967
"561",553241.018455432
"562",441821.414863381
"563",306752.608897565
"564",916219.956368379
"565",181423.5989984
"566",431057.300033678
"567",666889.030067017
"568",486482.239516766
"569",1168123.33060015
"570",335561.862879744
"571",416058.890297847
"572",624657.24795971
"573",256259.124379481
"574",472869.225834751
"575",270879.683757242
"576",153423.048053328
"577",551746.360156874
"578",326397.366493269
"579",974173.058111196
"580",338234.650192616
"581",674309.014536779
"582",310161.737301974
"583",658276.092118817
"584",530878.327506421
"585",538018.839681257
"586",434610.076056419
"587",299143.399992523
"588",978719.311086419
"589",287247.412744162
"590",252988.728884936
"591",42952.8674266146
"592",166890.06265254
"593",509196.34453805
"594",460441.707705925
"595",347051.455977837
"596",1398046.49470931
"597",410038.01311159
"598",621700.60374724
"599",569917.038561108
"600",843415.632372423
"601",685317.469561755
"602",699906.839177788
"603",563640.948811651
"604",272684.698415408
"605",378321.534544144
"606",748219.781628569
"607",125179.420390563
"608",459811.620890355
"609",341281.210582282
"610",485646.397760114
"611",1813743.99297274
"612",558644.060571742
"613",608581.597635046
"614",261869.255182015
"615",398959.809807684
"616",227706.481313101
"617",1049679.84674059
"618",177290.408807954
"619",391154.507123525
"620",549250.889274918
"621",856444.462286185
"622",276830.467487426
"623",513665.819778461
"624",240554.194857822
"625",428884.804937645
"626",712150.291037351
"627",343686.912101328
"628",1037466.31933121
"629",505848.811509863
"630",469503.609682193
"631",485574.784565861
"632",259091.028881236
"633",502606.53992493
"634",123891.678131198
"635",509664.255857528
"636",560481.286217731
"637",485797.166338401
"638",459386.392663528
"639",124078.200930655
"640",454247.528614937
"641",248634.977076888
"642",489042.153809404
"643",447709.802581328
"644",431399.673799114
"645",362451.378404877
"646",1093920.41114414
"647",380315.942978008
"648",491698.866819025
"649",650865.450195658
"650",793689.33099972
"651",232411.800071565
"652",1118518.24196959
"653",633318.381132529
"654",140690.211646046
"655",991960.392430066
"656",242948.707664859
"657",175810.076785749
"658",424457.304702058
"659",356889.395757039
"660",410778.256880635
"661",375205.884529609
"662",450805.524736328
"663",707803.42858122
"664",295912.826013281
"665",173693.26117147
"666",70396.0356162262
"667",392059.830305262
"668",641007.357018744
"669",489700.889846633
"670",484904.826729264
"671",538489.85416794
"672",488913.303167049
"673",1396522.47646134
"674",480169.921138036
"675",398203.330161731
"676",728881.140125671
"677",1235520.31351819
"678",135401.520370518
"679",452137.239736903
"680",467750.585304556
"681",257782.776088215
"682",175479.518668406
"683",1118707.69725477
"684",510662.325560121
"685",400009.488811296
"686",751825.121535904
"687",411599.089328428
"688",265421.07184071
"689",676451.980834358
"690",377978.797291311
"691",416202.340488449
"692",1259957.47811227
"693",656196.332488632
"694",786056.018974844
"695",639282.354114587
"696",809685.497039803
"697",485376.082477753
"698",523485.651957827
"699",284366.31472843
"700",1520568.63297185
"701",645292.430422547
"702",1527835.86570349
"703",518685.697481477
"704",266723.184045804
"705",469908.150946263
"706",499616.734410366
"707",554394.856804641
"708",846841.517471654
"709",163344.079952638
"710",497958.383829269
"711",782630.984507799
"712",870902.476521632
"713",641960.918642002
"714",405218.751423258
"715",527554.442113035
"716",627110.956268714
"717",206626.280822365
"718",359078.515998059
"719",306915.433124812
"720",492227.82690424
"721",974421.133262792
"722",736221.422452822
"723",675027.980447749
"724",507858.467333851
"725",862607.069423534
"726",363718.189754958
"727",433739.163237934
"728",141846.159399918
"729",1377075.23270567
"730",490572.722975131
"731",501193.057172428
"732",476997.769630799
"733",796587.792190855
"734",1402951.47345579
"735",662223.46832783
"736",522485.114862976
"737",748584.873569512
"738",236965.68028943
"739",551714.725748405
"740",301479.058901536
"741",820857.824533214
"742",908879.358879265
"743",518413.653179276
"744",534704.428530849
"745",389905.962234994
"746",568784.903939507
"747",241599.124209459
"748",144514.833512911
"749",535765.630143389
"750",519149.360128893
"751",378754.964088952
"752",1743704.20605923
"753",971196.350231268
"754",407307.158638186
"755",870499.747958037
"756",261981.911442317
"757",606538.491641163
"758",709575.486357367
"759",461486.003958214
"760",477717.625916336
"761",508199.680061331
"762",231421.987274913
"763",441422.995278366
"764",99730.5406962088
"765",305110.083896858
"766",317015.329038423
"767",271275.70586304
"768",711429.889580706
"769",316980.773843388
"770",1165561.41226866
"771",621999.296373514
"772",1119058.20029251
"773",1045339.65125692
"774",396553.051093015
"775",245327.32145302
"776",468506.763015836
"777",652483.615336074
"778",1007516.77189339
"779",550110.77557007
"780",295243.973410239
"781",457790.326111161
"782",516336.233736745
"783",390262.837669203
"784",183362.704529318
"785",151962.58326383
"786",386673.58627951
"787",446135.625492139
"788",516976.863340232
"789",290776.609340455
"790",736120.978881197
"791",379983.20973844
"792",746261.201919774
"793",1217188.06437863
"794",464435.899160698
"795",710746.128398748
"796",549908.513352156
"797",399009.776870182
"798",473187.484926889
"799",178444.433775504
"800",837939.715118683
"801",226821.079846001
"802",869842.479789238
"803",489145.512501775
"804",606550.184541273
"805",764257.965982981
"806",722433.150079864
"807",906234.160030826
"808",673119.851514645
"809",502347.66432057
"810",367497.159581352
"811",642519.80132986
"812",451534.351321276
"813",752934.037862517
"814",496818.564643173
"815",247731.632043029
"816",379364.96828094
"817",371413.472294002
"818",267247.238061434
"819",239285.81858009
"820",938545.594007184
"821",311057.078730992
"822",743674.849893259
"823",997477.01735105
"824",582918.955623196
"825",735399.406611457
"826",424359.676761552
"827",394928.528709488
"828",506967.210321851
"829",626386.969397304
"830",281449.438229605
"831",656636.532515612
"832",154226.922305368
"833",297217.666526359
"834",262122.121537114
"835",779060.279351079
"836",473863.538689213
"837",418862.880442332
"838",799809.041284895
"839",481885.816609291
"840",622671.524510647
"841",457357.269104151
"842",1169720.09713473
"843",2152764.661333
"844",234779.909507945
"845",746776.006988894
"846",789635.131958639
"847",655730.209017548
"848",351263.583357377
"849",1723057.4647145
"850",268922.130986431
"851",80887.1338788729
"852",391143.522232865
"853",293725.378266995
"854",308861.253063423
"855",525025.854261426
"856",413627.615851075
"857",273381.946989417
"858",468649.023520296
"859",246117.990802313
"860",796164.122997588
"861",547954.212850409
"862",159145.078331511
"863",529025.496350365
"864",406934.961407354
"865",330799.32491408
"866",1002269.96301465
"867",391954.745808691
"868",344110.782975359
"869",802877.145730093
"870",493931.766780635
"871",560054.443487342
"872",326490.782768126
"873",255536.646597747
"874",405108.83289327
"875",456451.265115361
"876",783811.716484577
"877",389061.627210333
"878",871452.903306053
"879",674082.750530711
"880",1475928.46977419
"881",1171436.20897085
"882",373677.420077988
"883",339909.52598044
"884",837308.910658672
"885",386927.700275092
"886",274454.578279379
"887",242635.65795505
"888",580421.923698154
"889",518265.022736752
"890",363020.098593026
"891",366260.991211604
"892",311368.869184248
"893",271409.156358959
"894",420131.207129688
"895",643723.224360907
"896",698407.106549768
"897",414226.390578882
"898",343227.508527948
"899",275304.74249207
"900",405024.34409527
"901",368929.43399661
"902",641907.294486232
"903",187257.754620411
"904",242576.616410868
"905",586566.558433476
"906",209686.482114241
"907",444640.016775692
"908",374939.807364481
"909",821566.138056865
"910",312734.451380193
"911",392249.130270681
"912",600695.805532882
"913",301952.386928234
"914",294541.716619621
"915",142584.679770231
"916",362056.60360377
"917",633060.248255228
"918",474503.441526835
"919",970529.430006895
"920",687382.252924509
"921",366116.030279106
"922",431048.506944325
"923",709606.206647862
"924",1593533.69204648
"925",551011.83059579
"926",238149.996070597
"927",541277.634258983
"928",643489.312709773
"929",309666.383830022
"930",289202.988636704
"931",1560219.13361512
"932",170030.80033136
"933",877679.435263025
"934",370798.249593881
"935",434131.246714144
"936",654152.348213548
"937",206184.757630525
"938",321375.389277746
"939",225789.009609272
"940",357941.754599098
"941",640129.781988449
"942",471221.212590936
"943",620643.57197681
"944",321999.363052472
"945",273636.882827342
"946",1008288.4703067
"947",122983.54854748
"948",200788.154037458
"949",306544.670388125
"950",493529.687550499
"951",648497.66222958
"952",523897.163798474
"953",230543.183468432
"954",398081.875696713
"955",813965.455855341
"956",141777.593272441
"957",628805.867658102
"958",275616.072286532
"959",506311.194675839
"960",845406.311756442
"961",859387.399192867
"962",911760.756506779
"963",315313.726244009
"964",334968.420679942
"965",426970.661673311
"966",528333.834836819
"967",507765.695939692
"968",541585.454582831
"969",725048.407751549
"970",759371.208239063
"971",566158.352054718
"972",393285.851951223
"973",253167.01498487
"974",816808.258454195
"975",603299.704307818
"976",524633.369450096
"977",870770.216781339
"978",529505.214963533
"979",407815.917425459
"980",323200.969337622
"981",725083.673497129
"982",669581.763758088
"983",409877.409103388
"984",399058.663948528
"985",255533.791412437
"986",399786.667396357
"987",428974.907233128
"988",222711.271812125
"989",653743.389402294
"990",318860.998903156
"991",316428.574745285
"992",735048.121742746
"993",1618893.27011901
"994",300460.332180128
"995",471947.438452903
"996",468508.54468413
"997",664466.586446239
"998",771816.422746078
"999",536271.6393591
"1000",649730.196846563
"1001",573608.773578155
"1002",615566.88093151
"1003",343004.070660331
"1004",1203846.61597396
"1005",344523.158354067
"1006",576023.52103948
"1007",783359.631365642
"1008",964978.081825077
"1009",809245.872851774
"1010",617645.584637974
"1011",579852.330674494
"1012",164715.155006879
"1013",906969.437888955
"1014",371404.198385121
"1015",410109.145976498
"1016",734822.883261585
"1017",153364.335426622
"1018",93816.9684975212
"1019",216814.619170589
"1020",440503.870254357
"1021",435600.653924758
"1022",636407.469466123
"1023",831627.662996771
"1024",761311.539382492
"1025",288821.338707851
"1026",173589.179776799
"1027",780857.49453722
"1028",129929.025411378
"1029",354723.007030499
"1030",476571.166839076
"1031",612839.715864257
"1032",416067.224229283
"1033",296728.201020017
"1034",743568.006605064
"1035",497854.891927976
"1036",619179.086439847
"1037",695286.575053289
"1038",413899.096145358
"1039",273087.277363442
"1040",396394.670048723
"1041",698871.582961686
"1042",559259.879157229
"1043",159858.896521961
"1044",367973.634750526
"1045",261820.474776695
"1046",679684.429078122
"1047",435522.164715548
"1048",258767.443328227
"1049",207758.209099377
"1050",825250.877473374
"1051",489849.82069395
"1052",328192.871930673
"1053",420409.600630405
"1054",480341.243225684
"1055",317371.163855991
"1056",440753.340274542
"1057",761141.005741765
"1058",484012.116593032
"1059",669415.982255204
"1060",575480.83117587
"1061",639269.825259819
"1062",1427546.36145229
"1063",528114.826307111
"1064",252606.607594643
"1065",660089.289688488
"1066",303179.739478218
"1067",344866.319022899
"1068",463707.290177329
"1069",628271.744001777
"1070",670237.812563215
"1071",1054363.25089559
"1072",253685.895582611
"1073",264630.558800888
"1074",193116.464222216
"1075",300513.909715284
"1076",831757.788019074
"1077",227785.608155718
"1078",770563.707989737
"1079",223331.109820022
"1080",207032.546178027
"1081",458404.18364889
"1082",291761.244119956
"1083",311745.002748856
"1084",462994.882157297
"1085",549298.209445514
"1086",248523.878505317
"1087",574545.004778347
"1088",658310.263235949
"1089",204006.153353191
"1090",378263.701244779
"1091",360837.950256691
"1092",281222.202920779
"1093",356464.273547561
"1094",486994.000237799
"1095",670104.181021041
"1096",559567.289351922
"1097",392626.427534456
"1098",174722.711128403
"1099",772767.082996722
"1100",197145.843689202
"1101",529456.050281882
"1102",323933.158150092
"1103",554008.554744548
"1104",489439.630713414
"1105",1756226.04703233
"1106",1306351.15088388
"1107",598554.955994112
"1108",317298.3408845
"1109",131670.763593201
"1110",972830.876071728
"1111",428454.109404092
"1112",501283.684384799
"1113",602378.254425162
"1114",815353.812315016
"1115",40978.8228387119
"1116",555287.913824328
"1117",543344.788001708
"1118",305980.926741463
"1119",661816.797706118
"1120",968975.625149419
"1121",1989721.02927823
"1122",499003.632336169
"1123",307292.278884309
"1124",717570.476433864
"1125",297564.520558886
"1126",828944.382335998
"1127",241555.145168244
"1128",372949.799214248
"1129",453544.620195596
"1130",662790.457038022
"1131",622954.132379613
"1132",618743.803882587
"1133",314658.70367751
"1134",561834.71445898
"1135",568781.755205808
"1136",221687.404294965
"1137",695891.383495029
"1138",782660.182662647
"1139",432171.145533705
"1140",610305.622848905
"1141",206844.264677862
"1142",565110.607797948
"1143",295778.188149659
"1144",530266.516649432
"1145",515561.460052574
"1146",1065686.04198245
"1147",403171.987890289
"1148",119559.533192668
"1149",563074.468434086
"1150",601202.46680913
"1151",2484761.19891093
"1152",439025.835893019
"1153",399332.128891314
"1154",455976.405218311
"1155",241716.236434206
"1156",438614.056522805
"1157",540324.769575047
"1158",195538.420714631
"1159",837231.585799865
"1160",225415.427344211
"1161",400152.402602079
"1162",483288.157019442
"1163",816971.466536431
"1164",311001.865451535
"1165",178264.35967366
"1166",478826.043386977
"1167",271696.303740403
"1168",298491.472741909
"1169",221133.372514451
"1170",388691.557179993
"1171",672543.651249883
"1172",747106.348048699
"1173",302916.247791512
"1174",1088501.51638397
"1175",559549.527764156
"1176",153231.75910703
"1177",1608841.3939083
"1178",545772.384523063
"1179",248761.450430885
"1180",267937.991435459
"1181",471414.210218595
"1182",611586.897939796
"1183",317403.565906661
"1184",192704.184437041
"1185",859040.910014574
"1186",929746.000838877
"1187",306123.641893106
"1188",446061.124417694
"1189",626719.165704156
"1190",268950.821130892
"1191",320895.684393524
"1192",684854.566467536
"1193",307854.604458407
"1194",436906.49734898
"1195",921789.717769318
"1196",308674.043841914
"1197",554485.651835919
"1198",636744.414120977
"1199",208643.431848757
"1200",579338.096776504
"1201",237998.680137263
"1202",765859.00880107
"1203",433258.904749316
"1204",117255.969717171
"1205",376770.551678024
"1206",316012.823061276
"1207",927218.824078901
"1208",141187.992344849
"1209",668865.228445684
"1210",145409.752386373
"1211",1084743.75738743
"1212",257614.33927487
"1213",320879.490249984
"1214",201081.099133746
"1215",806551.493080972
"1216",312890.355313702
"1217",289767.109760411
"1218",209924.768661259
"1219",568107.123281293
"1220",1120719.50214883
"1221",690448.377780503
"1222",559024.134111694
"1223",453731.191704387
"1224",513989.014637718
"1225",321762.061694584
"1226",321694.374135493
"1227",210004.366397948
"1228",427660.752522028
"1229",411025.181472963
"1230",968218.479821741
"1231",372615.590772894
"1232",519629.396956027
"1233",497862.112884825
"1234",335284.487018975
"1235",268116.382073889
"1236",247819.072829948
"1237",965902.49528684
"1238",903429.037250258
"1239",416677.571875437
"1240",1131116.95996444
"1241",979023.347356405
"1242",197842.171957209
"1243",1249470.26552096
"1244",276603.120303576
"1245",365896.464782006
"1246",230395.686929633
"1247",242051.378208463
"1248",129879.39785059
"1249",145232.503509216
"1250",303481.354755368
"1251",408361.282972446
"1252",451056.711542943
"1253",445346.983809168
"1254",506361.721781033
"1255",422982.250530845
"1256",304483.897658511
"1257",570349.838660662
"1258",324526.410925792
"1259",957845.199831526
"1260",532843.396984545
"1261",528273.78689276
"1262",455731.914114907
"1263",144160.131436494
"1264",528270.717810805
"1265",588475.90668128
"1266",2510755.24059475
"1267",2705323.64867133
"1268",199024.361346756
"1269",168452.05511799
"1270",779618.012274495
"1271",1305530.00485099
"1272",518033.38910004
"1273",250211.371662369
"1274",1246514.81104175
"1275",563807.298713276
"1276",565473.817008066
"1277",301055.811367795
"1278",562047.259742673
"1279",257568.527474049
"1280",581020.095206493
"1281",553905.345025837
"1282",456456.10522835
"1283",195543.312339382
"1284",1067799.12301797
"1285",651897.372622125
"1286",424132.324177977
"1287",463296.003833833
"1288",579366.43563237
"1289",600824.927625475
"1290",418910.966609168
"1291",716714.272275765
"1292",389518.988488385
"1293",341440.417408046
"1294",527456.792448442
"1295",629912.173273129
"1296",369322.976607487
"1297",642140.819866613
"1298",127405.498087734
"1299",485928.970142314
"1300",362630.609450461
"1301",349941.328963434
"1302",578999.409590856
"1303",503519.759966861
"1304",640978.464851076
"1305",559693.11891388
"1306",545960.457397825
"1307",336639.657851215
"1308",588526.972781108
"1309",207355.131973433
"1310",341887.627935927
"1311",812370.62520937
"1312",243968.458722829
"1313",424753.111944324
"1314",677230.095301313
"1315",334355.919234488
"1316",308337.619365119
"1317",504999.579881679
"1318",433800.607768625
"1319",562051.999879896
"1320",998773.461896717
"1321",432453.843565551
"1322",520688.750932307
"1323",350688.779320509
"1324",1191463.70010495
"1325",720413.797107556
"1326",808530.780778353
"1327",235634.71153185
"1328",562846.903903316
"1329",1003509.58483984
"1330",471840.581370807
"1331",1395415.55827771
"1332",476122.29657754
"1333",470043.270522663
"1334",285219.450967759
"1335",567358.70496413
"1336",345400.118554147
"1337",828484.56747936
"1338",306445.024598041
"1339",517156.992068063
"1340",493195.539931037
"1341",283702.926459828
"1342",600136.629613776
"1343",371813.367208013
"1344",618631.046473363
"1345",1119966.34281655
"1346",605778.366411939
"1347",507864.2774132
"1348",385483.325131985
"1349",347373.330419696
"1350",459858.519818762
"1351",406748.076729213
"1352",617416.596266594
